No,Nama Produk,Harga,Link Preview,Deskripsi
1,PPT Skripsi Akademik Gold,50000,mahirppt.com/s1,Tema formal dengan aksen emas untuk sidang skripsi.
2,PPT Skripsi Akademik Blue,50000,mahirppt.com/s2,Tema formal biru tua fokus pada grafik data penelitian.
3,PPT Skripsi Akademik Minimalist,45000,mahirppt.com/s3,Desain bersih tanpa banyak hiasan untuk presentasi akademik.
4,PPT Skripsi Akademik Dark Mode,55000,mahirppt.com/s4,Tema gelap elegan untuk presentasi sidang di ruangan terang.
5,PPT Bisnis Pitch Deck Pro,75000,mahirppt.com/b5,Template untuk mencari investor desain modern dan berani.
6,PPT Bisnis Pitch Deck Startup,70000,mahirppt.com/b6,Fokus pada perkembangan user dan market share startup.
7,PPT Bisnis Pitch Deck Corporate,80000,mahirppt.com/b7,Desain kaku dan profesional untuk laporan internal perusahaan.
8,PPT Bisnis Pitch Deck Creative,65000,mahirppt.com/b8,Penuh warna dan elemen visual untuk industri kreatif.
9,PPT Edukasi Guru SD,30000,mahirppt.com/e9,Cerah dan banyak animasi kartun untuk anak-anak.
10,PPT Edukasi Dosen Universitas,40000,mahirppt.com/e10,Layout standar kuliah dengan fokus pada teks dan referensi.
11,PPT Edukasi Kursus Online,45000,mahirppt.com/e11,Optimasi untuk screen sharing Zoom/Meet.
12,PPT Edukasi Workshop,50000,mahirppt.com/e12,Template interaktif dengan banyak slide tanya jawab.
13,PPT Marketing Social Media,60000,mahirppt.com/m13,Ukuran 9:16 untuk presentasi konten TikTok/Reels.
14,PPT Marketing SEO Agency,65000,mahirppt.com/m14,Banyak tabel perbandingan dan grafik performa website.
15,PPT Marketing Influencer,55000,mahirppt.com/m15,Desain estetis untuk portofolio media sosial.
16,PPT Marketing Brand Identity,70000,mahirppt.com/m16,Fokus pada filosofi logo dan warna brand.
17,PPT Kesehatan Rumah Sakit,50000,mahirppt.com/k17,Bersih dengan ikon medis lengkap.
18,PPT Kesehatan Farmasi,50000,mahirppt.com/k18,Fokus pada struktur kimia dan data klinis obat.
19,PPT Kesehatan Mental,45000,mahirppt.com/k19,Warna pastel yang menenangkan untuk edukasi psikologi.
20,PPT Kesehatan Olahraga,55000,mahirppt.com/k20,Dinamis dengan elemen foto aktivitas fisik.
21,PPT Teknologi Cyber Security,85000,mahirppt.com/t21,Futuristik dengan efek hologram dan garis digital.
22,PPT Teknologi AI & Data,80000,mahirppt.com/t22,Visualisasi jaringan saraf dan big data.
23,PPT Teknologi Software Development,75000,mahirppt.com/t23,Layout menyerupai kode editor (IDE).
24,PPT Teknologi Blockchain,90000,mahirppt.com/t24,Desain abstrak dengan elemen rantai blok.
25,PPT Food & Beverage Cafe,40000,mahirppt.com/f25,Desain rustic dengan banyak slot foto makanan.
26,PPT Food & Beverage Restoran,45000,mahirppt.com/f26,Mewah untuk presentasi menu fine dining.
27,PPT Food & Beverage Franchise,55000,mahirppt.com/f27,Fokus pada perhitungan balik modal (BEP).
28,PPT Food & Beverage Catering,35000,mahirppt.com/f28,Katalog paket menu prasmanan dan pernikahan.
29,PPT Real Estate Jual Rumah,60000,mahirppt.com/r29,Foto properti besar-besar dengan peta lokasi.
30,PPT Real Estate Investasi Lahan,70000,mahirppt.com/r30,Analisis ROI pembangunan kawasan.
31,PPT Real Estate Interior Desain,65000,mahirppt.com/r31,Fokus pada palet warna dan moodboard ruangan.
32,PPT Real Estate Sewa Apartemen,50000,mahirppt.com/r32,Brosur digital untuk penyewa potensial.
33,PPT EO Wedding,55000,mahirppt.com/eo33,Romantis dengan elemen bunga dan timeline acara.
34,PPT EO Konser,80000,mahirppt.com/eo34,Layout stage design dan sistem suara.
35,PPT EO Seminar,45000,mahirppt.com/eo35,Rundown acara dan profil pembicara.
36,PPT EO Pameran,60000,mahirppt.com/eo36,Denah booth dan alur pengunjung.
37,PPT Fashion Lookbook Summer,50000,mahirppt.com/fs37,Cerah untuk koleksi pakaian musim panas.
38,PPT Fashion Lookbook Winter,50000,mahirppt.com/fs38,Tone warna dingin untuk pakaian musim dingin.
39,PPT Fashion Brand Story,65000,mahirppt.com/fs39,Narasi sejarah brand dari awal berdiri.
40,PPT Fashion Retail Strategy,70000,mahirppt.com/fs40,Rencana distribusi ke mall dan toko offline.
41,PPT Automotive Showroom,75000,mahirppt.com/a41,Fokus pada spesifikasi mesin dan fitur mobil.
42,PPT Automotive Bengkel,45000,mahirppt.com/a42,Presentasi jasa servis dan paket perawatan.
43,PPT Automotive Car Club,30000,mahirppt.com/a43,Desain santai untuk agenda touring komunitas.
44,PPT Automotive EV Future,85000,mahirppt.com/a44,Fokus pada teknologi baterai dan ramah lingkungan.
45,PPT Travel Agent Wisata,40000,mahirppt.com/tr45,Itinerary perjalanan lengkap dengan foto destinasi.
46,PPT Travel Hotel Profile,60000,mahirppt.com/tr46,Fasilitas kamar kolam renang dan ruang meeting.
47,PPT Travel Dokumentasi,25000,mahirppt.com/tr47,Album foto digital dalam bentuk slide.
48,PPT Travel Maskapai,90000,mahirppt.com/tr48,Analisis rute dan pelayanan kabin.
49,PPT Non-Profit Galang Dana,35000,mahirppt.com/np49,Emosional dengan fokus pada dampak sosial.
50,PPT Non-Profit Annual Report,45000,mahirppt.com/np50,Transparansi dana dan hasil audit.
